"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"BEN",5031,5,31,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,2.32999992370605,81,10,0,0,19,0,1,1,0,0,0
"BEN",5038,5,38,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.65000009536743,32,16,0,0,25,1,1,0,0,0,0
"BEN",5046,5,46,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.52999997138977,15,18,0,0,17,1,1,0,0,0,0
"BEN",5053,5,53,1,2,0,1,0,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.79999995231628,29,47,0,0,34,1,1,1,0,0,0
"BEN",5060,5,60,1,4,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,4.9396858215332,50,50,0,0,135,1,0,0,0,0,0
"BEN",5067,5,67,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.97000002861023,3,7,0,0,21,1,0,0,0,0,0
"BEN",5074,5,74,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,13.7599999904633,11,7,0,0,40,1,0,0,0,0,0
"BEN",5081,5,81,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,9.04000020027161,15,50,0,0,45,1,0,0,0,0,0
"BEN",6004,6,4,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,11.908519744873,5,28,0,0,23,0,1,0,0,0,0
"BEN",6014,6,14,2,2,1,1,1,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,2.98600006103516,2,2,0,0,0,0,0,1,0,0,0
